,Brand,Price,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,MS Office Provided,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Graphic Processor,Operating System,USB Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Keyboard,Backlit Keyboard,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty
0,Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 81X800J3IN|81X800LGIN|81X800N2IN Thin and Light Laptop Rs.68790  Price in India - Buy Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 81X800J3IN|81X800LGIN|81X800N2IN Thin and Light Laptop Platinum Grey Online - Lenovo : Flipkart.com,36990,"Laptop, Power Adaptor, User Guide, Warranty Documents",81X800J3IN|81X800LGIN|81X800N2IN,81X800J3IN|81X800LGIN|81X800N2IN,15ITL05,IdeaPad Slim 3 Intel,Platinum Grey,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,1115G4,4.1,Intel Integrated UHD Graphics,Windows 11 Home,"1x USB 2.0, 2x USB 3.2 Gen 1",No,39.62 cm (15.6 Inch),1920x1080 Pixels,FHD 220nits Anti-glare,Stereo speakers,Dual Array Microphone,"11ac, 2x2",v5.0,362.2 x 253.4 x 19.9 mm,1.7 Kg,Not Available,720p with Privacy Shutter,"Non-backlit, English",No,2 Year warranty,Onsite,Manufacturer’s warranty against faulty workmanship or defective parts,(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty
1,ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1500EA-EJ3381WS Laptop Rs.51990  Price in India - Buy ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1500EA-EJ3381WS Laptop Indie Black Online - ASUS : Flipkart.com,35990,"Laptop, Adaptor & Manual",X1500EA-EJ3381WS,90NB0TY5-M03EN0,X1500EA,Vivobook 15,Indie Black,Laptop,"Everyday Use, Processing & Multitasking, Performance",Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,i3-1115G4,3.0 Ghz. Turbo Upto 4.1 Ghz.,Intel Integrated UHD,Windows 11 Home,"1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A",No,39.62 cm (15.6 inch),1920 x 1080 pixel,"(39.62cm)15.6-inch, FHD (1920 x 1080) 16:9, LED Backlit, 60Hz refresh rate, 250nits, NTSC: 45%, Anti-glare display, (Screen-to-body ratio)83%",Built-in speaker Built-in microphone with Cortana support,Yes,Wi-Fi 5(802.11ac) (Dual band) 1*1 + Bluetooth 4.1,5,36.00 x 23.50 x 1.99 ~ 1.99 cm,1.8 kg,Not Available,VGA,"Chiclet Keyboard with Num-key, 1.4mm Key-travel",,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Any Type of Damage
2,MSI Bravo 15 Ryzen 7 Octa Core 5800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX6500M/144 Hz) Bravo 15 B5ED-034IN Gaming Laptop Rs.69990  Price in India - Buy MSI Bravo 15 Ryzen 7 Octa Core 5800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX6500M/144 Hz) Bravo 15 B5ED-034IN Gaming Laptop Black Online - MSI : Flipkart.com,55990,"Laptop, power adapter",Bravo 15 B5ED-034IN,9S7-158M12-034,Bravo 15 B5ED,Bravo 15,Black,Gaming Laptop,"Gaming, Processing & Multitasking",No,AMD,Ryzen 7 Octa Core,Yes,512 GB,8 GB,DDR,5800H,3.2GHz Upto 4.4GHz,AMD Radeon RX6500M,Windows 11 Home,"1 x Type-C USB3.2 Gen1, 2 x Type-A USB3.2 Gen1, 1 x Type-A USB2.0",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"FHD, 144Hz, 45%NTSC, IPS-Level",Built-in Dual Stereo Speakers,Yes,AMD Wi-Fi 6E RZ608,v5.2,359 x 259 x 24.95mm,2.35 Kg,Not Available,HD type (30fps@728p),Single Backlit Keyboard (Red),Yes,1 Year Warranty Term,Carry In,Part Failure,"Physical Damage, Burn, Liquid Spill"
3,Lenovo IdeaPad 3 Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | 82H802L3IN | 82H801LHIN I 82H803E6IN Thin and Light Laptop Rs.55490  Price in India - Buy Lenovo IdeaPad 3 Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | 82H802L3IN | 82H801LHIN I 82H803E6IN Thin and Light Laptop Arctic Grey Online - Lenovo : Flipkart.com,36950,"Laptop, Power Adaptor, User Guide, Warranty Documents",82H801L7IN | 82H802FJIN | 82H802L3IN | 82H801LHIN I 82H803E6IN,0196118455495 | 0196379293072 | 0196800313836 | 0196118455235,15ITL6,IdeaPad 3 Intel,Arctic Grey,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,1115G4,1.7 GHz upto max turbo frequency at 4.1 Ghz,Intel Integrated UHD,Windows 11 Home,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only)",No,39.62 cm (15.6 inch),1920 x 1080 pixel,Full HD TN 250nits Anti-glare,Built-in Dual Speakers,Built-in array microphones,"11ac, 2x2",v5.0,359.2 x 236.5 x 19.9 mm,1.65 kg,Not Available,720p with Privacy Shutter,"Non-backlit, English",No,2 Year warranty,Onsite,Manufacturer’s warranty against faulty workmanship or defective parts,(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty
4,Lenovo Yoga Slim 7 Carbon Intel Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home) 13IAP7 Thin and Light Laptop Rs.181890  Price in India - Buy Lenovo Yoga Slim 7 Carbon Intel Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home) 13IAP7 Thin and Light Laptop Moon White Online - Lenovo : Flipkart.com,124990,"Laptop, Power Adaptor, User Guide, Warranty Documents",13IAP7,82U90080IN,13IAP7,Yoga Slim 7 Carbon Intel,Moon White,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i7,Yes,1 TB,16 GB,LPDDR5,1260P,3.4 GHz upto max turbo frequency at 4.7 Ghz,Intel Integrated Iris Xe,Windows 11 Home,"1 x USB-C 3.2 Gen 2 (support data transfer, Power Delivery 3.0 and DisplayPort 1.4), 1 x Thunderbolt 4 / USB4 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",Yes,33.78 cm (13.3 Inch),2560 x 1600 Pixel,"2.5K IPS 400nits Anti-glare / Anti-fingerprint, 100% sRGB, 90Hz, Dolby Vision, Eyesafe, Touch",Built-in Speakers,,"Wi-Fi 6E, 11ax 2x2",V5.1,300.98 x 206.03 x 14.8 mm,0.984 Kg,Not Available,"HD 720p + IR with E-shutter, ToF Sensor","Backlit, English",Yes,3 Years Onsite Warranty + 3 Year Premium Care + 1 Year Accidental Damage Protection,Carry-in,Manufacturing Defects,Physical Damage
5,Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 82K101B6IN|82K101FTIN Gaming Laptop Rs.81990  Price in India - Buy Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 82K101B6IN|82K101FTIN Gaming Laptop Shadow Black Online - Lenovo : Flipkart.com,53990,"Laptop, Battery, Adapter, Cables and User Manuals",82K101B6IN|82K101FTIN,"82K101B6IN, 82K101FTIN",15IHU6,IdeaPad Gaming 3 Intel,Shadow Black,Gaming Laptop,Gaming,No,Intel,Core i5,Yes,512 GB,8 GB,DDR4,11320H,2.5 GHz upto max turbo frequency at 4.5 Ghz,NVIDIA GeForce GTX 1650,Windows 11 Home,"2 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only)",No,100.63 cm (39.62 cm),1920 x 1080 Pixel,"Full HD IPS 250nits Anti-glare, 60Hz, 45% NTSC, DC dimmer",speakers Two built-in stereo speakers,Built-in Dual Array Microphones,"Wi-Fi 6 11ax, 2x2",v5.0,359.6 x 251.9 x 24.2 mm,2.25 kg,Not Available,HD 720p with Camera Shutter,"White Backlit, English",Yes,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidentaly Damage Protection,Onsite,Manufacturing Defects,Physical Damage
6,HP 15s (2023) Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light Laptop Rs.39995  Price in India - Buy HP 15s (2023) Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light Laptop Natural Silver Online - HP : Flipkart.com,33990,"Laptop, battery, power adapter, user guide",15s- eq1580AU,834S2PA#ACJ,15s- eq1580AU,15s (2023),Natural Silver,Thin and Light Laptop,Processing & Multitasking,Yes,AMD,Ryzen 3 Dual Core,Yes,512 GB,8 GB,DDR4,3250U,2.60 GHz up to 3.50 GHz,AMD Radeon AMD,Windows 11 Home,"1 x USB Type-C 5Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, micro-edge,anti-glare, Brightness: 220 nits, 141 ppi, Color Gamut: 45%NTSC",Yes,Yes,Realtek RTL8821CE 802.11b/g/n/ac (2x2),v5.0,,1.69 Kg,Not Available,HP True Vision 720p HD Camera,Full-size island-style Natural Silver keyboard with numeric keypad,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
7,HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light Laptop Rs.47279  Price in India - Buy HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light Laptop Natural Silver Online - HP : Flipkart.com,35990,"Laptop, Power Adapter, User Guide, Warranty Documents",14s - dy2507TU,6N024PA#ACJ,14s - dy2507TU,14s Intel,Natural Silver,Thin and Light Laptop,"Entertainment, Performance, Processing & Multitasking",Yes,Intel,Core i3,Yes,256 GB,8 GB,DDR4,1115G4,Up to 4.1 GHz,Intel Integrated UHD Graphics,Windows 11 Home,"1x SuperSpeed USB Type-C 5 Gbps signaling rate, 2x SuperSpeed USB Type-A 5Gbps signaling rate",No,35.56 cm (14 inch),1920 x 1080 Pixel,"FHD, IPS, micro-edge, anti-glare (Brightness: 250 nits, 157 ppi, Color Gamut: 45% NTSC)",Dual speakers,Integrated dual array digital microphones,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,v5.0,325 x 216 x 17.0 mm,1.41 Kg,Not Available,HP True Vision 720p HD camera,"Full-size, Natural Silver keyboard",No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
8,Lenovo Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN Laptop Rs.46090  Price in India - Buy Lenovo Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN Laptop Platinum Grey Online - Lenovo : Flipkart.com,26989,"Laptop, Power Adaptor, User Guide, Warranty Documents",81WQ00MQIN|81WQ00NXIN,81WQ00MQIN,15IGL05,Intel,Platinum Grey,Laptop,Processing & Multitasking,Yes,Intel,Celeron Dual Core,Yes,256 GB,8 GB,DDR4,N4020,2.8,Intel Integrated UHD Graphics 600,Windows 11 Home,"1x USB 2.0, 2x USB 3.2 Gen 1",No,39.62 cm (15.6 Inch),1366 x 768 Pixels,"HD, TN (220nits Anti-glare)",Dual Stereo Speakers,Dual Array Microphone,"11ac, 2x2",v5.0,362.2 x 253.4 x 19.9 mm,1.7 Kg,Not Available,720p with Privacy Shutter,"Non-backlit, English",No,2 Years Onsite�Warranty,Carry-in,Manufacturing Defects,Physical Damage
9,Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core 5600H - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) Ideapad Gaming3 15ACH6D1 Gaming Laptop Rs.88090  Price in India - Buy Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core 5600H - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) Ideapad Gaming3 15ACH6D1 Gaming Laptop Shadow Black Online - Lenovo : Flipkart.com,55990,"Laptop, User manual, Adapter",Ideapad Gaming3 15ACH6D1,82K201Y9IN|82K201UGIN,14IAU7,IdeaPad Gaming 3,Shadow Black,Gaming Laptop,Gaming,No,AMD,Ryzen 5 Hexa Core,Yes,256 GB,8 GB,DDR4,5600H,3.2 GHz upto max turbo frequency at 4.2 Ghz,NVIDIA GeForce GTX 1650,Windows 11 Home,"2 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only)",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD IPS 250nits Anti-glare, 120Hz, 45% NTSC, DC dimmer",Built-in Speakers,,"Wi-Fi 6 11ax, 2x2",v5.0,359.6 x 251.9 x 24.2 mm,2.25 Kg,Not Available,HD 720p with Camera Shutter,"White Backlit, English",Yes,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,Onsite,Manufacturing Defects,Physical Damage
10,ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light Laptop Rs.69990  Price in India - Buy ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light Laptop Transparent Silver Online - ASUS : Flipkart.com,40990,"Laptop, Battery, Adapter, Cables and User Manuals",X515EA-EJ522WS,90NB0TY2-M00JP0,X515EA-EJ522WS,Vivobook 15,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,1135G7,2.4 GHz upto max turbo frequency at 4.2 Ghz,Intel Integrated Iris Xe,Windows 11 Home,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD 16:9 Aspect ratio, LCD Backlit, 200nits, 45% NTSC Color Gamut, Anti-glare display",Built-in Speaker,Built-in Microphone,Wi-Fi 5(802.11ac) (Dual band) 1x1,v4.1,360 x 235 x 19.9 mm,1.80 kg,Not Available,VGA camera,Chiclet Keyboard with Num-key,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
11,ASUS TUF Gaming A15 Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FA506IHRZ-HN112W Gaming Laptop Rs.75990  Price in India - Buy ASUS TUF Gaming A15 Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FA506IHRZ-HN112W Gaming Laptop Graphite Black Online - ASUS : Flipkart.com,54990,"Laptop, Power Adaptor, User Guide, Warranty Documents",FA506IHRZ-HN112W,90NR07G7-M00BT0,FA506IHRZ-HN112W,TUF Gaming A15,Graphite Black,Gaming Laptop,Gaming,No,AMD,Ryzen 5 Hexa Core,Yes,1 TB,8 GB,DDR4,AMD R5-4600H,4.0 GHz max boost,NVIDIA GeForce GTX 1650,Windows 11 Home,"3x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C support DisplayPort",No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"FHD, LED Backlit LCD, Value IPS-level (Brightness 250 nits, NTSC% 45%, SRGB % 62.5%)",2 Speaker System,Built-in array microphone,Wi-Fi 6(802.11ax) (Dual band) 2x2,v5.1,359 x 256 x 24.5 mm,2.30 Kg,Not Available,720P HD camera,Backlit Chiclet Keyboard 1-Zone RGB,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
12,ASUS (2022) Celeron Dual Core - (4 GB/128 GB SSD/Windows 11 Home) BR1100CKA-GJ0722W Laptop Rs.30990  Price in India - Buy ASUS (2022) Celeron Dual Core - (4 GB/128 GB SSD/Windows 11 Home) BR1100CKA-GJ0722W Laptop Star Grey Online - ASUS : Flipkart.com,20990,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",BR1100CKA-GJ0722W,90NX03B1-M005B0,BR1100CKA-GJ0722W,(2022),Star Grey,Laptop,Processing & Multitasking,No,Intel,Celeron Dual Core,Yes,128 GB,4 GB,DDR4,N4500,2.8,Intel Integrated UHD Graphics,Windows 11 Home,"1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 2 Type-C support power delivery",No,29.46 cm (11.6 Inch),1366 x 768 Pixels,"HD, Anti-glare display ( Brightness 220nits, Color gamut NTSC: 45%)",Built-in speaker,Built-in array microphone,Wi-Fi 5 (802.11ac),v5.2,294.6 x 204.9 x 20.0 mm,1.26 Kg,Not Available,"720p HD camera, with privacy shutter",Chiclet Keyboard,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
13,HP 15s (2023) Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15s-fr4001TU Thin and Light Laptop Rs.59237  Price in India - Buy HP 15s (2023) Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15s-fr4001TU Thin and Light Laptop Natural Silver Online - HP : Flipkart.com,55990,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s-fr4001TU,7J3Z3PA#ACJ,15s-fr4001TU,15s (2023) Intel,Natural Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,512 GB,16 GB,DDR4,1155G7,Upto 4.50GHz,Intel Integrated Integrated,Windows 11 Home,"1 x USB Type-C 5Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",Built-in Dual Speakers,Built-in Dual Array Digital Microphones,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),v5.0,358 x 242 x 17.9,1.69 Kg,Not Available,HP True Vision 720p HD camera,"Full-size, backlit natural silver keyboard with numeric keypad",Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
14,HP 14s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop Rs.49509  Price in India - Buy HP 14s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop Natural Silver Online - HP : Flipkart.com,38990,"Laptop, Power Adaptor, User Guide, Warranty Documents",14s - dy2508TU,6X360PA#ACJ,14s - dy2508TU,14s Intel,Natural Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,1115G4,"Base Frequency 1.7 GHz, Max Turbo Frequency at 4.1 GHz",Intel Integrated UHD,Windows 11 Home,"1 x SuperSpeed USB Type-C 5 Gbps Signaling Rate, 2 x SuperSpeed USB Type-A 5 Gbps Signaling Rate",No,35.56 cm (14 inch),1920 x 1080 Pixel,"Full HD, IPS, Micro-Edge, Anti-Glare, Brightness: 250 Nits, 157 PPI, Color Gamut: 45% NTSC",Built-in Dual Speaker,Integrated Dual Array Digital Microphones,Realtek RTL8822CE 802.11 a/b/g/n/ac (2 x 2),v5.0,325 x 216 x 17.0 mm,1.41 kg,Not Available,HP True Vision 720p HD Camera,"Full-size, Natural Silver keyboard",,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
15,Infinix INBook X1 Neo Series Celeron Quad Core - (8 GB/256 GB SSD/Windows 11 Home) XL22 Thin and Light Laptop Rs.39999  Price in India - Buy Infinix INBook X1 Neo Series Celeron Quad Core - (8 GB/256 GB SSD/Windows 11 Home) XL22 Thin and Light Laptop Cosmic Blue Online - Infinix : Flipkart.com,22990,"Laptop, Power Adaptor, User Guide, Warranty Documents, Cable",XL22,71008300418,INBook X1 Neo,INBook X1 Neo Series,Cosmic Blue,Thin and Light Laptop,"Everyday Use, Processing & Multitasking",No,Intel,Celeron Quad Core,Yes,256 GB,8 GB,LPDDR4X,N5100,"Base Frequency 1.1 GHz, Max Turbo Frequency at 2.8 GHz",Intel Integrated UHD,Windows 11 Home,"2 x USB 3.0, 2 X USB Type C",No,35.56 cm (14 inch),1920 x 1080 Pixels,"Full HD, IPS, 300 nits peak brightness, 100% sRGB, NTSC 72%",DTS Audio Processing,2 x D- Mic,Intel Wireless-AX MAC,v5.1,323.3 x 211.1 x 14.8 mm,1.24 kg,Not Available,HD Webcam,Backlit Keyboard,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
16,DELL Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Light Laptop Rs.72180  Price in India - Buy DELL Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Light Laptop Carbon Black Online - DELL : Flipkart.com,54990,"Laptop, battery, adapter, cables and user manuals",New Inspiron 15 Laptop,D560871WIN9B/D560865WIN9B,Inspiron 3520,,Carbon Black,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,1235U,"Base Frequency 3.30 GHz, Max Turbo Boost Frequency Up to 4.40 GHz",Intel Integrated UHD,Windows 11 Home,"2 x USB 3.2 Gen 1 ports, 1 x USB 2.0 port",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD WVA AG 120Hz 250 nits Narrow Border,Built-in Speakers,,Intel Wi-Fi 6 2x2 (Gig+),v5.2,358 X 235 x 21.0 mm,1.65 Kg,Not Available,HD Camera,Standard Keyboard,,1 Year Onsite Hardware Service,Onsite,Manufacturing Defects,Accidental Damage
17,HP 15s (2023) Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light Laptop Rs.51266  Price in India - Buy HP 15s (2023) Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light Laptop Natural Silver Online - HP : Flipkart.com,40990,"Laptop, battery, power adapter, user guide",15s-fy5003TU,7Q700PA#ACJ,15s-fy5003TU,15s (2023) Intel,Natural Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,1215U,0.9 GHz upto max turbo frequency at 4.4 Ghz,Intel Integrated UHD,Windows 11 Home,"1 x USB Type-C 5Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",Yes,Yes,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),v5.0,,1.69 Kg,Not Available,HP True Vision 720p HD camera,"Full-size, natural silver keyboard with numeric keypad",No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
18,ASUS Vivobook 15 Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ515WS Thin and Light Laptop Rs.70990  Price in India - Buy ASUS Vivobook 15 Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ515WS Thin and Light Laptop Icelight Silver Online - ASUS : Flipkart.com,50990,"Laptop, Power Adaptor, User Guide, Warranty Documents",X1502ZA-EJ515WS,90NB0VX2-M00N20,X1502ZA-EJ515WS,Vivobook 15,Icelight Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,1235U,1.3 GHz with Turbo Boost Upto 4.4 GHz,Intel Integrated Iris Xe,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 220nits, 45% NTSC color gamut, Anti-glare display",Yes,Yes,Wi-Fi 6(802.11ax) (Dual band) 2*2,v5.0,359.7 x 232.5 x 19.9 mm,1.7 Kg,Not Available,720p HD camera ; With privacy shutter,Chiclet Keyboard,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
19,realme Book (Slim) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop Rs.54999  Price in India - Buy realme Book (Slim) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop Real Blue Online - realme : Flipkart.com,33990,"Laptop, Power Adaptor, User Guide, Warranty Documents",RMNB1001,130290120017,RMNB1001,Book (Slim),Real Blue,Thin and Light Laptop,"Everyday Use, Processing & Multitasking",No,Intel,Core i3,Yes,256 GB,8 GB,DDR4,1115G4,3.0GHz with Turbo Boost Upto 4.1GHz,Intel Integrated UHD,Windows 10 Home,TypeC x 2 USB 3.2 Gen 2; TypeA x 1 USB 3.2 Gen 1,No,35.56 cm (14 inch),2160 x 1440 Pixel,"2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB,3:2 aspect ratio, Full Vision Display)","Harman, Built-in Dual Speakers",Built-in microphone,,v5.1,307.2 x 228.9 x 15.5 mm,1.38 kg,Not Available,,Backlit Keyboard,Yes,1 Year Domestic Warranty,Carry-in to Realme Service Center or Reach our Customer Support,Manufacturing Defects,Physical Damage
20,ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS | X515EA-EJ328WS Thin and Light Laptop Rs.56990  Price in India - Buy ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS | X515EA-EJ328WS Thin and Light Laptop Transparent Silver Online - ASUS : Flipkart.com,33990,"Laptop, Battery, Adapter, Cables and User Manuals",X515EA-EJ322WS | X515EA-EJ328WS,90NB0TY2-M00JK0 | 90NB0TY2-M047X0,X515EA-EJ322WS | X515EA-EJ328WS,Vivobook 15,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,1115G4,3.0 GHz up to max turbo frequency at 4.1 GHz,Intel Integrated UHD,Windows 11 Home,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD 16:9 Aspect ratio, LED Backlit, 200nits, 45% NTSC Color Gamut, Anti-glare display",Built-in Speaker,Built-in Microphone,Wi-Fi 5(802.11ac) (Dual band) 1x1,v4.1,360 x 235 x 19.9 mm,1.80 kg,Not Available,VGA camera,Chiclet Keyboard with Num-key,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
